card_name,set_code,set_number,priority_score,urgency,core_flex,archetypes,avg_copies
Mega Froslass ex,,,3.3,HIGH,flex,Blaziken Dragapult;Grimmsnarl Munkidori;Mega Froslass Mega Starmie,1.3
Marnie's Impidimp,,,3.3,MODERATE,core,Grimmsnarl Munkidori,3.3
Alakazam,,,3.2,MODERATE,core,Alakazam Dudunsparce,3.2
Ignition Energy,,,3.2,HIGH,flex,Alakazam Dudunsparce;Grimmsnarl Munkidori;Mega Froslass Mega Starmie,1.2
Counter Gain,,,3.2,HIGH,flex,Dragapult Meowth;Dragapult ex;Mewtwo Spidops,1.2
Team Rocket's Ariana,,,3.2,MODERATE,core,Mewtwo Spidops,3.2
Cynthia's Power Weight,,,3.1,MODERATE,core,Garchomp Roserade,3.1
Cynthia's Roselia,,,3.1,MODERATE,core,Garchomp Roserade,3.1
Cynthia's Roserade,,,3.1,MODERATE,core,Garchomp Roserade,3.1
Bulbasaur,,,3.1,MODERATE,core,Mega Venusaur,3.1
N's PP Up,,,3.1,MODERATE,core,Darmanitan Zoroark,3.1
Cook,,,3.0,MODERATE,flex,Mega Lucario,1.0
Riolu,,,3.0,MODERATE,flex,Mega Lucario,1.0
Carbink,,,3.0,MODERATE,flex,Mega Lucario,1.0
Ethan's Sudowoodo,,,3.0,MODERATE,flex,Mega Lucario,1.0
Ting-Lu,,,3.0,MODERATE,flex,Mega Lucario,1.0
Drilbur,,,3.0,MODERATE,flex,Mega Lucario,1.0
Excadrill,,,3.0,MODERATE,flex,Mega Lucario,1.0
Chi-Yu,,,3.0,MODERATE,flex,Dragapult Dusknoir,1.0
Ralts,,,3.0,MODERATE,flex,Dragapult Dusknoir,1.0
Mega Gallade ex,,,3.0,MODERATE,flex,Dragapult Dusknoir,1.0
Enriching Energy,,,3.0,HIGH,flex,Alakazam Dudunsparce;Mega Venusaur;Mega Froslass Mega Starmie,1.0
Max Rod,,,3.0,HIGH,flex,Alakazam Dudunsparce;Mewtwo Spidops;Mega Venusaur,1.0
Cynthia's Garchomp ex,,,3.0,MODERATE,core,Garchomp Roserade,3.0
Cinderace,,,3.0,MODERATE,flex,Garchomp Roserade,3.0
Wellspring Mask Ogerpon ex,,,3.0,HIGH,flex,Dragapult Meowth;Mega Venusaur;Mega Froslass Mega Starmie,1.0
N's Plan,,,3.0,HIGH,flex,Dragapult ex;Darmanitan Zoroark;Mega Froslass Mega Starmie,1.0
Cheren,,,3.0,MODERATE,flex,Mega Venusaur,3.0
Urbain,,,3.0,MODERATE,flex,Mega Venusaur,3.0
Team Rocket's Giovanni,,,2.9,MODERATE,core,Mewtwo Spidops,2.9
Team Rocket's Articuno,,,2.9,MODERATE,flex,Mewtwo Spidops;Mega Froslass Mega Starmie,1.9
Ivysaur,,,2.9,MODERATE,core,Mega Venusaur,2.9
Marnie's Grimmsnarl ex,,,2.8,MODERATE,core,Grimmsnarl Munkidori,2.8
Team Rocket's Proton,,,2.6,MODERATE,core,Mewtwo Spidops,2.6
Jumbo Ice Cream,,,2.5,MODERATE,flex,Grimmsnarl Munkidori;Mega Venusaur,1.5
Binding Mochi,,,2.5,MODERATE,flex,Grimmsnarl Munkidori;Darmanitan Zoroark,1.5
Punk Helmet,,,2.5,MODERATE,flex,Grimmsnarl Munkidori;Darmanitan Zoroark,1.3
Mega Venusaur ex,,,2.5,MODERATE,core,Mega Venusaur,2.5
Call Bell,,,2.5,MODERATE,flex,Mega Froslass Mega Starmie,2.5
Fan Rotom,,,2.1,MODERATE,flex,Alakazam Dudunsparce;Mega Venusaur,1.1
Powerglass,,,2.1,MODERATE,flex,Garchomp Roserade;Darmanitan Zoroark,1.1
Energy Recycler,,,2.1,MODERATE,flex,Garchomp Roserade;Grimmsnarl Munkidori,1.1
Ruffian,,,2.0,MODERATE,flex,Alakazam Dudunsparce;Garchomp Roserade,1.0
Lillie's Pearl,,,2.0,MODERATE,flex,Alakazam Dudunsparce;Blaziken Dragapult,1.0
Elgyem,,,2.0,MODERATE,flex,Alakazam Dudunsparce,2.0
Beheeyem,,,2.0,MODERATE,flex,Alakazam Dudunsparce,2.0
Mega Diancie ex,,,2.0,MODERATE,flex,Alakazam Dudunsparce;Blaziken Dragapult,1.0
Pecharunt,,,2.0,MODERATE,flex,Blaziken Dragapult;Darmanitan Zoroark,1.0
Lightning Energy,,,2.0,MODERATE,flex,Blaziken Dragapult;Dragapult ex,1.0
Chien-Pao,,,2.0,MODERATE,flex,Dragapult Meowth;Dragapult ex,1.0
Marnie's Morgrem,,,2.0,MODERATE,flex,Grimmsnarl Munkidori,2.0
Team Rocket's Archer,,,2.0,MODERATE,flex,Mewtwo Spidops,2.0
Team Rocket's Mewtwo ex,,,2.0,MODERATE,core,Mewtwo Spidops,2.0
Lively Stadium,,,2.0,MODERATE,flex,Mewtwo Spidops;Mega Venusaur,1.0
Meganium,,,2.0,MODERATE,flex,Mega Venusaur,2.0
Chikorita,,,2.0,MODERATE,flex,Mega Venusaur,2.0
Bayleef,,,2.0,MODERATE,flex,Mega Venusaur,2.0
N's Castle,,,2.0,MODERATE,flex,Darmanitan Zoroark,2.0
N's Darumaka,,,2.0,MODERATE,flex,Darmanitan Zoroark,2.0
Chikorita,,,1.8,MODERATE,flex,Mega Venusaur,1.8
Bayleef,,,1.8,MODERATE,flex,Mega Venusaur,1.8
N's Zekrom,,,1.8,MODERATE,flex,Darmanitan Zoroark,1.8
N's Darmanitan,,,1.8,MODERATE,flex,Darmanitan Zoroark,1.8
Surfing Beach,,,1.8,MODERATE,flex,Mega Froslass Mega Starmie,1.8
Team Rocket's Mimikyu,,,1.7,MODERATE,flex,Mewtwo Spidops,1.7
Abra,,,1.6,MODERATE,flex,Alakazam Dudunsparce,1.6
Celebi,,,1.4,MODERATE,flex,Mega Venusaur,1.4
Dusk Ball,,,1.2,MODERATE,flex,Alakazam Dudunsparce,1.2
Brave Bangle,,,1.2,MODERATE,flex,Mewtwo Spidops,1.2
Shuckle,,,1.2,MODERATE,flex,Mega Venusaur,1.2
Combusken,,,1.1,MODERATE,flex,Blaziken Dragapult,1.1
Mega Meganium ex,,,1.1,MODERATE,flex,Mega Venusaur,1.1
N's Reshiram,,,1.1,MODERATE,flex,Darmanitan Zoroark,1.1
Janine's Secret Art,,,1.1,MODERATE,flex,Darmanitan Zoroark,1.1
Buneary,,,1.0,MODERATE,flex,Alakazam Dudunsparce,1.0
Mega Lopunny ex,,,1.0,MODERATE,flex,Alakazam Dudunsparce,1.0
Alakazam,,,1.0,MODERATE,flex,Alakazam Dudunsparce,1.0
Gothita,,,1.0,MODERATE,flex,Alakazam Dudunsparce,1.0
Gothitelle,,,1.0,MODERATE,flex,Alakazam Dudunsparce,1.0
Dudunsparce ex,,,1.0,MODERATE,flex,Alakazam Dudunsparce,1.0
Buneary,,,1.0,MODERATE,flex,Alakazam Dudunsparce,1.0
Hop's Choice Band,,,1.0,MODERATE,flex,Alakazam Dudunsparce,1.0
Cynthia's Spiritomb,,,1.0,MODERATE,flex,Garchomp Roserade,1.0
Lisia's Appeal,,,1.0,MODERATE,flex,Garchomp Roserade,1.0
Relicanth,,,1.0,MODERATE,flex,Garchomp Roserade,1.0
Rescue Board,,,1.0,MODERATE,flex,Garchomp Roserade,1.0
Hand Trimmer,,,1.0,MODERATE,flex,Garchomp Roserade,1.0
Blaziken,,,1.0,MODERATE,flex,Blaziken Dragapult,1.0
Farigiraf ex,,,1.0,MODERATE,flex,Blaziken Dragapult,1.0
Girafarig,,,1.0,MODERATE,flex,Blaziken Dragapult,1.0
Chi-Yu,,,1.0,MODERATE,flex,Blaziken Dragapult,1.0
Combusken,,,1.0,MODERATE,flex,Blaziken Dragapult,1.0
Reshiram ex,,,1.0,MODERATE,flex,Blaziken Dragapult,1.0
Charmander,,,1.0,MODERATE,flex,Blaziken Dragapult,1.0
Mega Charizard X ex,,,1.0,MODERATE,flex,Blaziken Dragapult,1.0
Carvanha,,,1.0,MODERATE,flex,Blaziken Dragapult,1.0
Mega Sharpedo ex,,,1.0,MODERATE,flex,Blaziken Dragapult,1.0
Tapu Koko ex,,,1.0,MODERATE,flex,Blaziken Dragapult,1.0
Iron Boulder,,,1.0,MODERATE,flex,Dragapult Meowth,1.0
Marnie's Morpeko,,,1.0,MODERATE,flex,Grimmsnarl Munkidori,1.0
Yveltal,,,1.0,MODERATE,flex,Grimmsnarl Munkidori,1.0
Accompanying Flute,,,1.0,MODERATE,flex,Grimmsnarl Munkidori,1.0
Precious Trolley,,,1.0,MODERATE,flex,Grimmsnarl Munkidori,1.0
Azelf,,,1.0,MODERATE,flex,Dragapult ex,1.0
Sparkling Crystal,,,1.0,MODERATE,flex,Dragapult ex,1.0
Stunfisk,,,1.0,MODERATE,flex,Dragapult ex,1.0
Team Rocket's Kangaskhan ex,,,1.0,MODERATE,flex,Mewtwo Spidops,1.0
Team Rocket's Sneasel,,,1.0,MODERATE,flex,Mewtwo Spidops,1.0
Team Rocket's Wobbuffet,,,1.0,MODERATE,flex,Mewtwo Spidops,1.0
Neutralization Zone,,,1.0,MODERATE,flex,Mewtwo Spidops,1.0
Team Rocket's Zapdos,,,1.0,MODERATE,flex,Mewtwo Spidops,1.0
Team Rocket's Murkrow,,,1.0,MODERATE,flex,Mewtwo Spidops,1.0
Team Rocket's Hypnotizer,,,1.0,MODERATE,flex,Mewtwo Spidops,1.0
Deduction Kit,,,1.0,MODERATE,flex,Mewtwo Spidops,1.0
Team Rocket's Chingling,,,1.0,MODERATE,flex,Mewtwo Spidops,1.0
Scramble Switch,,,1.0,MODERATE,flex,Mewtwo Spidops,1.0
Team Rocket's Honchkrow,,,1.0,MODERATE,flex,Mewtwo Spidops,1.0
Regigigas,,,1.0,MODERATE,flex,Mega Venusaur,1.0
Dwebble,,,1.0,MODERATE,flex,Mega Venusaur,1.0
Crustle,,,1.0,MODERATE,flex,Mega Venusaur,1.0
Whimsicott,,,1.0,MODERATE,flex,Mega Venusaur,1.0
Cottonee,,,1.0,MODERATE,flex,Mega Venusaur,1.0
Genesect,,,1.0,MODERATE,flex,Mega Venusaur,1.0
Redeemable Ticket,,,1.0,MODERATE,flex,Mega Venusaur,1.0
Scatterbug,,,1.0,MODERATE,flex,Mega Venusaur,1.0
Spewpa,,,1.0,MODERATE,flex,Mega Venusaur,1.0
Black Kyurem ex,,,1.0,MODERATE,flex,Mega Venusaur,1.0
Exeggcute,,,1.0,MODERATE,flex,Mega Venusaur,1.0
Exeggutor,,,1.0,MODERATE,flex,Mega Venusaur,1.0
Tapu Bulu,,,1.0,MODERATE,flex,Mega Venusaur,1.0
Tangela,,,1.0,MODERATE,flex,Mega Venusaur,1.0
Tangrowth,,,1.0,MODERATE,flex,Mega Venusaur,1.0
Zarude,,,1.0,MODERATE,flex,Mega Venusaur,1.0
Cottonee,,,1.0,MODERATE,flex,Mega Venusaur,1.0
Mega Heracross ex,,,1.0,MODERATE,flex,Mega Venusaur,1.0
Miracle Headset,,,1.0,MODERATE,flex,Mega Venusaur,1.0
Deerling,,,1.0,MODERATE,flex,Mega Venusaur,1.0
Sawsbuck,,,1.0,MODERATE,flex,Mega Venusaur,1.0
Okidogi ex,,,1.0,MODERATE,flex,Darmanitan Zoroark,1.0
N's Sigilyph,,,1.0,MODERATE,flex,Darmanitan Zoroark,1.0
Pecharunt,,,1.0,MODERATE,flex,Darmanitan Zoroark,1.0
Glalie,,,1.0,MODERATE,flex,Mega Froslass Mega Starmie,1.0
Bronzor,,,1.0,MODERATE,flex,Mega Froslass Mega Starmie,1.0
Cubchoo,,,1.0,MODERATE,flex,Mega Froslass Mega Starmie,1.0
Deluxe Bomb,,,1.0,MODERATE,flex,Mega Froslass Mega Starmie,1.0
Hop's Wooloo,,,1.0,MODERATE,flex,Mega Froslass Mega Starmie,1.0
Hop's Dubwool,,,1.0,MODERATE,flex,Mega Froslass Mega Starmie,1.0
